gadget_name,function
Anywhere Door,Teleports users to any location instantly
Hopter,Propeller for personal flight
Time Machine,Travels through time
Memory Bread,Absorbs text when pressed on book pages
Air Cannon,Shoots compressed air as a weapon
Translation Gummy,Translates any language
Time Kerchief,Repairs or reverts objects when wrapped
Pass Loop,Walk through walls
Shock Gun,Forces target to obey commands
Cloud Solidifier,Turns clouds into solid platforms
Small Light,Shrinks objects/people
Big Light,Enlarges objects/people
Time TV,Watches past/future events
Human Repellent Spray,Makes user invisible to people
Gulliver Tunnel,Shrinks/grows objects passing through
Come Here Catcher,Teleports objects to user
3D Projector Mirror,Creates lifelike holograms
Sound Camera,Captures and replays sounds
Cat Caller,Summons cats with a whistle
Super Gloves,Grants super strength
Air Car,Flying car powered by air
4D Pocket,Stores infinite gadgets
Gadget Maker,Creates custom gadgets
Nobita's Dad's Used Gadget,Random old gadgets
Devil's Passport,Grants unlimited wishes
Gian's Super Summoner,Summons Gian forcibly
Survival Food,Tiny food that expands
Excitement Meter,Measures excitement level
All-Season AC,Controls weather locally
Robot Pet,Customizable robot pet
Lie Detector,Detects lies
Happy Memories,Relives happy memories
Dorami's Mini-Door,Smaller Anywhere Door
Misuse Psychokinesis,Moves objects with mind
Time Capsule,Sends objects to future
Clone Mirror,Creates duplicates
Santa Set,Becomes Santa
Pet Impersonator Cap,Talk to animals
Doraemon's Bell,Summons Doraemon
What-If Box,Simulates alternate realities
Almighty Pass,Grants access to any place
Cat Robot Kit,Raises a robot cat
Invisibility Cloak,Makes wearer invisible
Sticky Paper,Sticks objects to surfaces
Time Warp Candy,Speeds up/slows down time locally
Clone Fork,Creates edible clones of food
Dream Balloon,Flies using happy thoughts
Devil's Statue,Grants wishes with a catch
Human Maker,Creates temporary clones
Nobita's Zero-Score Test,Changes test answers
Terror Panties,Scares anyone who sees them
String Portal,Enters a world inside string art
Robot Hair,Hair that acts like hands
Earthquake Training Paper,Simulates earthquakes
Spider Silk Rope,Unbreakable sticky rope
Snow Artist,Creates snow sculptures instantly
House Robot,Turns house into a robot
Pencil Missile,Pencil that becomes a missile
Human Magnet,Attracts people to user
Nobita's Dinosaur,Hatches a pet dinosaur
Space Egg,Grows into a spaceship
Bird Cap,Grants ability to fly like a bird
Chameleon Cream,Blends into surroundings
Devil's Card,Grants dark wishes
Moon Exploration Kit,Explores the moon
Wind Bandana,Controls wind direction
Cloud Controller,Shapes clouds into objects
Time Camera,Takes photos of past/future
Human Puppeteer,Controls others like puppets
Cursed Camera,Curses photographed subjects
Jungle Arm,Extendable arm for grabbing
Shadow Stomp Oil,Traps shadows to immobilize
Weather Box,Changes local weather
Copy Remote,Duplicates objects
Reverse Earrings,Reverses words/actions
Human Diorama,Shrinks people into dioramas
Dorami's Pocket,Dorami's 4D pocket
Future Piggy Bank,Grows money over time
Devil's Dice,Changes reality based on rolls
Friendship Circle,Forces friendship bonds
Time Capsule,Sends objects to the future
Reverse Clock,Reverses time for 5 minutes
Human Antenna,Receives others' thoughts
Dream Channel,Watches others' dreams
Lie Stockings,Forces wearer to lie
Fate Umbrella,Changes destiny temporarily
Animal Headphones,Talks to animals
Space Cream,Creates mini-planets
Invisible Ink,Writes invisible messages
Effort Rule,Forces hard work
Dorami's Time Machine,Cute pink time machine
Devil's Contract,Grants power for a price
Human RC Controller,Controls people remotely
Safari Park Set,Creates mini-safari
Magic Lamp,Genie grants 3 wishes
Shadow Frame,Traps shadows to control others
Nobita's Castle,Builds a castle instantly
4D Trash Bin,Disposes items into void
Weather Board,Predicts weather
Time Belt,Time-travels on a path
Psychic Chalk,Drawings come to life
Human Model Kit,Assembles a clone
Cursed DVD,Curses viewers
Doraemon's Ears,Restores Doraemon's ears
Pet Soap,Turns objects into pets
Dream Dice,Changes dreams based on rolls
Space Clip,Creates zero-gravity zones
Devil's Hammer,Alters object properties
Time Dryer,Ages objects instantly
Human Encyclopedia,Teaches any skill
Dorami's Pump,Inflates objects to giant size
Future Newspaper,Reads future events
Terror Box,Summons user's fears
Wind Mane,Controls storms
Robot Seed,Grows a robot plant
Lie Body,Physical lies become real
Dorayaki Maker,Makes infinite dorayaki
Time Scope,Spy on past/future
Human Paper,Folds into human shapes
4D Mailbox,Sends letters to past/future
Cloud AC,Adjusts cloud temperature
Devil's Lens,Reveals dark truths
Dorami's Helicopter,Mini helicopter propeller
Dream Lens,Projects dreams
Human Cards,Turns people into cards
Time Card,Freezes time briefly
Doraemon's Ribbon,Grants cat-like agility
Devil's Umbrella,Curses those underneath
4D Camping Set,Portable pocket dimension
Future Album,Photos from the future
Dorami's Lamp,Mini-genie for small wishes
Devil's Camera,Steals souls in photos
Space Yacht,Sails through space
Time Balloon,Floats through time
